salary_in_usd,remote_ratio,work_year,experience_level_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,company_size_L,company_size_M,company_size_S,clusters
252000,0,2024,2,0,0,0,1,0,1,0,2
168000,0,2024,2,0,0,0,1,0,1,0,0
199500,100,2024,1,0,0,1,0,0,1,0,0
86700,100,2024,1,0,0,1,0,0,1,0,1
180000,0,2024,2,0,0,0,1,0,0,1,0
160000,0,2024,2,0,0,0,1,0,0,1,0
238600,0,2024,2,0,0,0,1,0,1,0,2
112000,0,2024,2,0,0,0,1,0,1,0,1
304000,0,2024,2,0,0,0,1,0,1,0,2
190000,0,2024,2,0,0,0,1,0,1,0,0
137000,0,2024,2,0,0,0,1,0,1,0,0
80500,0,2024,2,0,0,0,1,0,1,0,1
128000,100,2024,2,0,0,0,1,0,1,0,1
93000,100,2024,2,0,0,0,1,0,1,0,1
250800,100,2024,1,0,0,1,0,0,1,0,2
167200,100,2024,1,0,0,1,0,0,1,0,0
266482,0,2024,2,0,0,0,1,0,1,0,2
166551,0,2024,2,0,0,0,1,0,1,0,0
150000,0,2024,1,0,0,1,0,0,1,0,0
130000,0,2024,1,0,0,1,0,0,1,0,1
222200,0,2024,1,0,0,1,0,1,0,0,0
136000,0,2024,1,0,0,1,0,1,0,0,1
500000,0,2024,2,0,0,0,1,0,1,0,2
100000,0,2024,2,0,0,0,1,0,1,0,1
175000,0,2024,2,0,0,0,1,0,1,0,0
117000,0,2024,2,0,0,0,1,0,1,0,1
188500,0,2024,2,0,0,0,1,0,1,0,0
165100,0,2024,2,0,0,0,1,0,1,0,0
199500,100,2024,2,0,0,0,1,0,1,0,0
86700,100,2024,2,0,0,0,1,0,1,0,1
128000,0,2024,2,0,0,0,1,0,1,0,1
81500,0,2024,2,0,0,0,1,0,1,0,1
108334,0,2024,2,0,0,0,1,0,1,0,1
59923,0,2024,2,0,0,0,1,0,1,0,1
109000,0,2024,2,0,0,0,1,0,1,0,1
62300,0,2024,2,0,0,0,1,0,1,0,1
184000,0,2024,2,0,0,0,1,0,1,0,0
123000,0,2024,2,0,0,0,1,0,1,0,1
440000,0,2024,2,0,0,0,1,0,1,0,2
360000,0,2024,2,0,0,0,1,0,1,0,2
218500,100,2024,1,0,0,1,0,0,1,0,0
210662,100,2024,1,0,0,1,0,0,1,0,0
56280,0,2024,2,0,0,0,1,0,1,0,1
41820,0,2024,2,0,0,0,1,0,1,0,1
145000,0,2024,1,0,0,1,0,0,1,0,0
103000,0,2024,1,0,0,1,0,0,1,0,1
196900,100,2024,2,0,0,0,1,0,1,0,0
174271,100,2024,2,0,0,0,1,0,1,0,0
153000,0,2024,2,0,0,0,1,0,1,0,0
102000,0,2024,2,0,0,0,1,0,1,0,1
320000,100,2024,3,0,1,0,0,0,1,0,2
215000,100,2024,3,0,1,0,0,0,1,0,0
160000,0,2024,1,0,0,1,0,0,1,0,0
100000,0,2024,1,0,0,1,0,0,1,0,1
154400,100,2024,2,0,0,0,1,0,1,0,0
123520,100,2024,2,0,0,0,1,0,1,0,1
341000,100,2024,2,0,0,0,1,0,1,0,2
228800,100,2024,2,0,0,0,1,0,1,0,2
125000,100,2024,2,0,0,0,1,0,1,0,1
108000,100,2024,2,0,0,0,1,0,1,0,1
170000,100,2024,1,0,0,1,0,0,1,0,0
150000,100,2024,1,0,0,1,0,0,1,0,0
218500,100,2024,1,0,0,1,0,0,1,0,0
190000,100,2024,1,0,0,1,0,0,1,0,0
243300,0,2024,2,0,0,0,1,0,1,0,2
131500,0,2024,2,0,0,0,1,0,1,0,1
244000,100,2024,2,0,0,0,1,0,1,0,2
160000,100,2024,2,0,0,0,1,0,1,0,0
243300,0,2024,1,0,0,1,0,0,1,0,2
131500,0,2024,1,0,0,1,0,0,1,0,1
235400,0,2024,2,0,0,0,1,0,1,0,2
216705,0,2024,2,0,0,0,1,0,1,0,0
251000,0,2024,2,0,0,0,1,0,1,0,2
177000,0,2024,2,0,0,0,1,0,1,0,0
239000,0,2024,2,0,0,0,1,0,1,0,2
161000,0,2024,2,0,0,0,1,0,1,0,0
160000,0,2024,2,0,0,0,1,0,1,0,0
125000,0,2024,2,0,0,0,1,0,1,0,1
252000,0,2024,2,0,0,0,1,0,1,0,2
168000,0,2024,2,0,0,0,1,0,1,0,0
219650,100,2024,3,0,1,0,0,0,1,0,0
136000,100,2024,3,0,1,0,0,0,1,0,1
300200,0,2024,2,0,0,0,1,0,1,0,2
199800,0,2024,2,0,0,0,1,0,1,0,0
110000,0,2024,1,0,0,1,0,0,1,0,1
160455,0,2024,1,0,0,1,0,0,1,0,0
91318,0,2024,1,0,0,1,0,0,1,0,1
212800,0,2024,2,0,0,0,1,1,0,0,0
111600,0,2024,2,0,0,0,1,1,0,0,1
174000,100,2024,2,0,0,0,1,0,1,0,0
139200,100,2024,2,0,0,0,1,0,1,0,0
208000,0,2024,1,0,0,1,0,0,1,0,0
146994,0,2024,1,0,0,1,0,0,1,0,0
160000,0,2024,1,0,0,1,0,0,1,0,0
140000,0,2024,1,0,0,1,0,0,1,0,0
364100,0,2024,2,0,0,0,1,0,1,0,2
210900,0,2024,2,0,0,0,1,0,1,0,0
198400,100,2024,0,1,0,0,0,0,1,0,0
132300,100,2024,0,1,0,0,0,0,1,0,1
185000,0,2024,2,0,0,0,1,0,1,0,0
150000,0,2024,2,0,0,0,1,0,1,0,0
202800,0,2024,2,0,0,0,1,1,0,0,0
104300,0,2024,2,0,0,0,1,1,0,0,1
145400,0,2024,2,0,0,0,1,0,1,0,0
73300,0,2024,1,0,0,1,0,0,1,0,1
67600,0,2024,1,0,0,1,0,0,1,0,1
208000,0,2024,1,0,0,1,0,0,1,0,0
143000,0,2024,1,0,0,1,0,0,1,0,0
144000,0,2024,2,0,0,0,1,0,1,0,0
250800,0,2024,1,0,0,1,0,0,1,0,2
167200,0,2024,1,0,0,1,0,0,1,0,0
115000,0,2024,1,0,0,1,0,0,1,0,1
100000,0,2024,1,0,0,1,0,0,1,0,1
500000,0,2024,1,0,0,1,0,0,1,0,2
100000,0,2024,1,0,0,1,0,0,1,0,1
160000,0,2024,2,0,0,0,1,0,1,0,0
170700,0,2024,2,0,0,0,1,0,1,0,0
170000,100,2024,2,0,0,0,1,0,1,0,0
130000,100,2024,2,0,0,0,1,0,1,0,1
198600,0,2024,1,0,0,1,0,0,1,0,0
94300,0,2024,1,0,0,1,0,0,1,0,1
170000,0,2024,2,0,0,0,1,0,1,0,0
210000,0,2024,2,0,0,0,1,0,1,0,0
180000,0,2024,2,0,0,0,1,0,1,0,0
144000,0,2024,2,0,0,0,1,0,1,0,0
123844,0,2024,1,0,0,1,0,0,1,0,1
86691,0,2024,1,0,0,1,0,0,1,0,1
212109,0,2024,2,0,0,0,1,0,1,0,0
251000,0,2024,2,0,0,0,1,0,1,0,2
177008,0,2024,2,0,0,0,1,0,1,0,0
196052,100,2024,2,0,0,0,1,0,1,0,0
209720,0,2024,2,0,0,0,1,0,1,0,0
243300,0,2024,1,0,0,1,0,0,1,0,2
131500,0,2024,1,0,0,1,0,0,1,0,1
225000,0,2024,2,0,0,0,1,0,1,0,2
166000,0,2024,2,0,0,0,1,0,1,0,0
235400,0,2024,2,0,0,0,1,0,1,0,2
205380,0,2024,2,0,0,0,1,0,1,0,0
300000,0,2024,2,0,0,0,1,0,1,0,2
180000,0,2024,2,0,0,0,1,0,1,0,0
200200,0,2024,2,0,0,0,1,0,1,0,0
187178,0,2024,2,0,0,0,1,0,1,0,0
173000,0,2024,1,0,0,1,0,0,1,0,0
117000,0,2024,1,0,0,1,0,0,1,0,1
117728,100,2024,2,0,0,0,1,0,1,0,1
73632,100,2024,2,0,0,0,1,0,1,0,1
175000,0,2024,2,0,0,0,1,0,1,0,0
150000,0,2024,2,0,0,0,1,0,1,0,0
132500,0,2024,2,0,0,0,1,0,1,0,1
80000,0,2024,2,0,0,0,1,0,1,0,1
304200,0,2024,2,0,0,0,1,0,1,0,2
158500,0,2024,2,0,0,0,1,0,1,0,0
188500,0,2024,2,0,0,0,1,0,1,0,0
165100,0,2024,2,0,0,0,1,0,1,0,0
180000,0,2024,1,0,0,1,0,0,1,0,0
100000,0,2024,1,0,0,1,0,0,1,0,1
128656,0,2024,2,0,0,0,1,0,1,0,1
103330,0,2024,2,0,0,0,1,0,1,0,1
144300,0,2024,2,0,0,0,1,0,1,0,0
104800,0,2024,2,0,0,0,1,0,1,0,1
143376,0,2024,1,0,0,1,0,0,1,0,0
77500,0,2024,1,0,0,1,0,0,1,0,1
110000,0,2024,1,0,0,1,0,0,1,0,1
90000,0,2024,1,0,0,1,0,0,1,0,1
175900,0,2024,1,0,0,1,0,0,1,0,0
99700,0,2024,1,0,0,1,0,0,1,0,1
212000,0,2024,2,0,0,0,1,0,1,0,0
119000,0,2024,2,0,0,0,1,0,1,0,1
149000,100,2024,2,0,0,0,1,0,1,0,0
108000,100,2024,2,0,0,0,1,0,1,0,1
117000,0,2024,2,0,0,0,1,0,1,0,1
240240,0,2024,1,0,0,1,0,0,1,0,2
232587,0,2024,1,0,0,1,0,0,1,0,2
173000,0,2024,1,0,0,1,0,0,1,0,0
117000,0,2024,1,0,0,1,0,0,1,0,1
249700,100,2024,2,0,0,0,1,0,1,0,2
156300,100,2024,2,0,0,0,1,0,1,0,0
190000,0,2024,1,0,0,1,0,0,1,0,0
150000,0,2024,1,0,0,1,0,0,1,0,0
208000,100,2024,1,0,0,1,0,0,1,0,0
146994,100,2024,1,0,0,1,0,0,1,0,0
156000,0,2024,2,0,0,0,1,0,1,0,0
95105,0,2024,2,0,0,0,1,0,1,0,1
160000,0,2024,2,0,0,0,1,0,1,0,0
110000,0,2024,2,0,0,0,1,0,1,0,1
132600,0,2024,2,0,0,0,1,0,1,0,1
80845,0,2024,2,0,0,0,1,0,1,0,1
196900,0,2024,2,0,0,0,1,0,1,0,0
175654,0,2024,2,0,0,0,1,0,1,0,0
256500,0,2024,1,0,0,1,0,0,1,0,2
138900,0,2024,1,0,0,1,0,0,1,0,0
101520,100,2024,0,1,0,0,0,0,1,0,1
45864,100,2024,0,1,0,0,0,0,1,0,1
238600,0,2024,2,0,0,0,1,0,1,0,2
112000,0,2024,2,0,0,0,1,0,1,0,1
106100,0,2024,0,1,0,0,0,0,1,0,1
74300,0,2024,0,1,0,0,0,0,1,0,1
198600,0,2024,1,0,0,1,0,0,1,0,0
94300,0,2024,1,0,0,1,0,0,1,0,1
179000,0,2024,1,0,0,1,0,0,1,0,0
112000,0,2024,1,0,0,1,0,0,1,0,1
220000,0,2024,2,0,0,0,1,0,1,0,0
96600,0,2024,2,0,0,0,1,0,1,0,1
236900,0,2024,2,0,0,0,1,0,1,0,2
118450,0,2024,2,0,0,0,1,0,1,0,1
96600,0,2024,2,0,0,0,1,0,1,0,1
55200,0,2024,2,0,0,0,1,0,1,0,1
230000,0,2024,2,0,0,0,1,0,1,0,2
200000,0,2024,2,0,0,0,1,0,1,0,0
187982,0,2024,1,0,0,1,0,0,1,0,0
113928,0,2024,1,0,0,1,0,0,1,0,1
172000,0,2024,2,0,0,0,1,0,1,0,0
75600,0,2024,2,0,0,0,1,0,1,0,1
220000,0,2024,1,0,0,1,0,0,1,0,0
172000,0,2024,1,0,0,1,0,0,1,0,0
237000,100,2024,2,0,0,0,1,0,1,0,2
161200,100,2024,2,0,0,0,1,0,1,0,0
180000,0,2024,2,0,0,0,1,0,0,1,0
100000,0,2024,2,0,0,0,1,0,0,1,1
170000,100,2024,2,0,0,0,1,0,1,0,0
147000,100,2024,2,0,0,0,1,0,1,0,0
121586,0,2024,1,0,0,1,0,0,1,0,1
76115,0,2024,1,0,0,1,0,0,1,0,1
259000,100,2024,2,0,0,0,1,0,1,0,2
204000,100,2024,2,0,0,0,1,0,1,0,0
175000,0,2024,1,0,0,1,0,0,1,0,0
117000,0,2024,1,0,0,1,0,0,1,0,1
135000,100,2024,1,0,0,1,0,0,1,0,1
105000,100,2024,1,0,0,1,0,0,1,0,1
73000,0,2024,1,0,0,1,0,0,1,0,1
283780,0,2024,2,0,0,0,1,0,1,0,2
233840,0,2024,2,0,0,0,1,0,1,0,2
157750,100,2024,2,0,0,0,1,0,1,0,0
123525,100,2024,2,0,0,0,1,0,1,0,1
267800,0,2024,2,0,0,0,1,0,1,0,2
136218,0,2024,2,0,0,0,1,0,1,0,1
107400,0,2024,1,0,0,1,0,1,0,0,1
47500,0,2024,1,0,0,1,0,1,0,0,1
212800,0,2024,1,0,0,1,0,1,0,0,0
111600,0,2024,1,0,0,1,0,1,0,0,1
250000,0,2024,2,0,0,0,1,0,1,0,2
167000,0,2024,2,0,0,0,1,0,1,0,0
205800,0,2024,2,0,0,0,1,0,1,0,0
136500,0,2024,2,0,0,0,1,0,1,0,0
280000,0,2024,2,0,0,0,1,0,1,0,2
230000,0,2024,2,0,0,0,1,0,1,0,2
260570,100,2024,1,0,0,1,0,0,1,0,2
167030,100,2024,1,0,0,1,0,0,1,0,0
185000,0,2024,1,0,0,1,0,1,0,0,0
81000,0,2024,1,0,0,1,0,1,0,0,1
198000,0,2024,2,0,0,0,1,0,1,0,0
135000,0,2024,2,0,0,0,1,0,1,0,1
223000,0,2024,2,0,0,0,1,0,1,0,2
150000,0,2024,2,0,0,0,1,0,1,0,0
190000,100,2024,2,0,0,0,1,0,1,0,0
157000,100,2024,2,0,0,0,1,0,1,0,0
100000,100,2024,1,0,0,1,0,0,1,0,1
85000,100,2024,1,0,0,1,0,0,1,0,1
142300,0,2024,1,0,0,1,0,0,1,0,0
94900,0,2024,1,0,0,1,0,0,1,0,1
320850,0,2024,2,0,0,0,1,0,1,0,2
222700,0,2024,2,0,0,0,1,0,1,0,2
180000,100,2024,2,0,0,0,1,0,1,0,0
140000,100,2024,2,0,0,0,1,0,1,0,0
130000,0,2024,1,0,0,1,0,0,1,0,1
100000,0,2024,1,0,0,1,0,0,1,0,1
538400,0,2024,2,0,0,0,1,0,1,0,2
254600,0,2024,2,0,0,0,1,0,1,0,2
123000,0,2024,1,0,0,1,0,0,1,0,1
95000,0,2024,1,0,0,1,0,0,1,0,1
235400,0,2024,1,0,0,1,0,0,1,0,2
209720,0,2024,1,0,0,1,0,0,1,0,0
190000,100,2024,2,0,0,0,1,0,1,0,0
170000,100,2024,2,0,0,0,1,0,1,0,0
244400,0,2024,2,0,0,0,1,0,1,0,2
131600,0,2024,2,0,0,0,1,0,1,0,1
282200,0,2024,2,0,0,0,1,0,1,0,2
133600,0,2024,2,0,0,0,1,0,1,0,1
187450,100,2024,2,0,0,0,1,0,1,0,0
104550,100,2024,2,0,0,0,1,0,1,0,1
147000,0,2024,2,0,0,0,1,0,1,0,0
357900,0,2024,2,0,0,0,1,0,1,0,2
189400,0,2024,2,0,0,0,1,0,1,0,0
169000,100,2024,2,0,0,0,1,0,1,0,0
105000,100,2024,2,0,0,0,1,0,1,0,1
270000,100,2024,2,0,0,0,1,0,1,0,2
183600,100,2024,2,0,0,0,1,0,1,0,0
183600,100,2024,2,0,0,0,1,0,1,0,0
238600,0,2024,2,0,0,0,1,0,1,0,2
112000,0,2024,2,0,0,0,1,0,1,0,1
203280,100,2024,0,1,0,0,0,0,1,0,0
167898,100,2024,0,1,0,0,0,0,1,0,0
110100,0,2024,2,0,0,0,1,0,1,0,1
189975,100,2024,2,0,0,0,1,0,1,0,0
142200,100,2024,2,0,0,0,1,0,1,0,0
77100,0,2024,1,0,0,1,0,0,1,0,1
95000,0,2024,1,0,0,1,0,0,1,0,1
59300,0,2024,0,1,0,0,0,0,1,0,1
41500,0,2024,0,1,0,0,0,0,1,0,1
242000,0,2024,2,0,0,0,1,0,1,0,2
173000,0,2024,2,0,0,0,1,0,1,0,0
408500,0,2024,3,0,1,0,0,0,1,0,2
233500,0,2024,3,0,1,0,0,0,1,0,2
123500,0,2024,1,0,0,1,0,0,1,0,1
73500,0,2024,1,0,0,1,0,0,1,0,1
132678,0,2024,2,0,0,0,1,0,1,0,1
88452,0,2024,2,0,0,0,1,0,1,0,1
357100,0,2024,1,0,0,1,0,0,1,0,2
198400,0,2024,1,0,0,1,0,0,1,0,0
180000,100,2024,2,0,0,0,1,0,1,0,0
110000,100,2024,2,0,0,0,1,0,1,0,1
281000,0,2024,2,0,0,0,1,0,1,0,2
206000,0,2024,2,0,0,0,1,0,1,0,0
168520,0,2024,2,0,0,0,1,0,1,0,0
167481,0,2024,2,0,0,0,1,0,1,0,0
200000,100,2024,2,0,0,0,1,0,1,0,0
170000,100,2024,2,0,0,0,1,0,1,0,0
200000,0,2024,1,0,0,1,0,0,1,0,0
136000,0,2024,1,0,0,1,0,0,1,0,1
85000,0,2024,2,0,0,0,1,0,1,0,1
75000,0,2024,2,0,0,0,1,0,1,0,1
130000,0,2024,2,0,0,0,1,0,1,0,1
100000,0,2024,2,0,0,0,1,0,1,0,1
243800,100,2024,1,0,0,1,0,0,1,0,2
195000,100,2024,1,0,0,1,0,0,1,0,0
256500,0,2024,1,0,0,1,0,0,1,0,2
138900,0,2024,1,0,0,1,0,0,1,0,0
215000,100,2024,2,0,0,0,1,0,1,0,0
172000,100,2024,2,0,0,0,1,0,1,0,0
300200,0,2024,2,0,0,0,1,0,1,0,2
199800,0,2024,2,0,0,0,1,0,1,0,0
350000,0,2024,2,0,0,0,1,0,1,0,2
146994,0,2024,1,0,0,1,0,0,1,0,0
80000,0,2024,1,0,0,1,0,0,1,0,1
70000,0,2024,1,0,0,1,0,0,1,0,1
220800,0,2024,2,0,0,0,1,0,1,0,0
124800,0,2024,2,0,0,0,1,0,1,0,1
245400,0,2024,2,0,0,0,1,0,1,0,2
139000,0,2024,2,0,0,0,1,0,1,0,0
238600,0,2024,2,0,0,0,1,0,1,0,2
112000,0,2024,2,0,0,0,1,0,1,0,1
220800,0,2024,2,0,0,0,1,0,1,0,0
124800,0,2024,2,0,0,0,1,0,1,0,1
80000,0,2024,0,1,0,0,0,0,1,0,1
75000,0,2024,0,1,0,0,0,0,1,0,1
95000,0,2024,1,0,0,1,0,0,1,0,1
57920,0,2024,1,0,0,1,0,0,1,0,1
165000,100,2024,2,0,0,0,1,0,1,0,0
135000,100,2024,2,0,0,0,1,0,1,0,1
173100,100,2024,2,0,0,0,1,0,1,0,0
108200,100,2024,2,0,0,0,1,0,1,0,1
105000,0,2024,1,0,0,1,0,0,1,0,1
220000,0,2024,2,0,0,0,1,0,1,0,0
316900,0,2024,2,0,0,0,1,0,1,0,2
210900,0,2024,2,0,0,0,1,0,1,0,0
145000,0,2024,2,0,0,0,1,0,1,0,0
85000,0,2024,0,1,0,0,0,0,1,0,1
75000,0,2024,0,1,0,0,0,0,1,0,1
190000,100,2024,2,0,0,0,1,0,1,0,0
152000,100,2024,2,0,0,0,1,0,1,0,0
282450,0,2024,2,0,0,0,1,0,1,0,2
188400,0,2024,2,0,0,0,1,0,1,0,0
225000,100,2024,2,0,0,0,1,0,1,0,2
140000,100,2024,2,0,0,0,1,0,1,0,0
96200,100,2024,1,0,0,1,0,0,1,0,1
69800,100,2024,1,0,0,1,0,0,1,0,1
174500,100,2024,1,0,0,1,0,0,1,0,0
126800,100,2024,1,0,0,1,0,0,1,0,1
110240,0,2024,0,1,0,0,0,0,1,0,1
39500,0,2024,0,1,0,0,0,0,1,0,1
169700,0,2024,2,0,0,0,1,0,1,0,0
84600,0,2024,2,0,0,0,1,0,1,0,1
210000,0,2024,2,0,0,0,1,0,1,0,0
181000,0,2024,2,0,0,0,1,0,1,0,0
234000,0,2024,2,0,0,0,1,0,1,0,2
146000,0,2024,2,0,0,0,1,0,1,0,0
127000,0,2024,1,0,0,1,0,0,1,0,1
122283,0,2024,1,0,0,1,0,0,1,0,1
100000,0,2024,0,1,0,0,0,0,1,0,1
90000,0,2024,0,1,0,0,0,0,1,0,1
179000,0,2024,1,0,0,1,0,0,1,0,0
112000,0,2024,1,0,0,1,0,0,1,0,1
89500,100,2024,1,0,0,1,0,0,1,0,1
65000,100,2024,1,0,0,1,0,0,1,0,1
115000,0,2024,2,0,0,0,1,0,1,0,1
99000,0,2024,2,0,0,0,1,0,1,0,1
122900,0,2024,2,0,0,0,1,0,1,0,1
100000,100,2024,2,0,0,0,1,0,1,0,1
238600,0,2024,1,0,0,1,0,0,1,0,2
94300,0,2024,1,0,0,1,0,0,1,0,1
209720,0,2024,2,0,0,0,1,0,1,0,0
232000,0,2024,2,0,0,0,1,0,1,0,2
136000,0,2024,2,0,0,0,1,0,1,0,1
170700,0,2024,1,0,0,1,0,0,1,0,0
125000,100,2024,2,0,0,0,1,0,1,0,1
50000,100,2024,2,0,0,0,1,0,1,0,1
75000,100,2024,1,0,0,1,0,0,1,0,1
