work_year,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,experience_level_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,company_size_L,company_size_M,company_size_S,experience_level,company_size,clusters,cluster
2024,FT,AI Developer,252000,US,0,US,2,0,0,0,1,0,1,0,SE,M,2,Medium Salary
2024,FT,AI Developer,168000,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
2024,FT,Data Scientist,199500,US,100,US,1,0,0,1,0,0,1,0,MI,M,0,Low Salary
2024,FT,Data Scientist,86700,US,100,US,1,0,0,1,0,0,1,0,MI,M,1,High Salary
2024,FT,Research Engineer,180000,US,0,US,2,0,0,0,1,0,0,1,SE,S,0,Low Salary
2024,FT,Research Engineer,160000,US,0,US,2,0,0,0,1,0,0,1,SE,S,0,Low Salary
2024,FT,Research Scientist,238600,US,0,US,2,0,0,0,1,0,1,0,SE,M,2,Medium Salary
2024,FT,Research Scientist,112000,US,0,US,2,0,0,0,1,0,1,0,SE,M,1,High Salary
2024,FT,Data Scientist,304000,US,0,US,2,0,0,0,1,0,1,0,SE,M,2,Medium Salary
2024,FT,Data Scientist,190000,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
2024,FT,Data Scientist,137000,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
2024,FT,Data Scientist,80500,US,0,US,2,0,0,0,1,0,1,0,SE,M,1,High Salary
2024,FT,Research Scientist,128000,US,100,US,2,0,0,0,1,0,1,0,SE,M,1,High Salary
2024,FT,Research Scientist,93000,US,100,US,2,0,0,0,1,0,1,0,SE,M,1,High Salary
2024,FT,Data Scientist,250800,US,100,US,1,0,0,1,0,0,1,0,MI,M,2,Medium Salary
2024,FT,Data Scientist,167200,US,100,US,1,0,0,1,0,0,1,0,MI,M,0,Low Salary
2024,FT,Data Engineer,266482,US,0,US,2,0,0,0,1,0,1,0,SE,M,2,Medium Salary
2024,FT,Data Engineer,166551,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
2024,FT,Data Engineer,150000,US,0,US,1,0,0,1,0,0,1,0,MI,M,0,Low Salary
2024,FT,Data Engineer,130000,US,0,US,1,0,0,1,0,0,1,0,MI,M,1,High Salary
2024,FT,Applied Scientist,222200,US,0,US,1,0,0,1,0,1,0,0,MI,L,0,Low Salary
2024,FT,Applied Scientist,136000,US,0,US,1,0,0,1,0,1,0,0,MI,L,1,High Salary
2024,FT,Machine Learning Engineer,500000,US,0,US,2,0,0,0,1,0,1,0,SE,M,2,Medium Salary
2024,FT,Machine Learning Engineer,100000,US,0,US,2,0,0,0,1,0,1,0,SE,M,1,High Salary
2024,FT,Data Architect,175000,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
2024,FT,Data Architect,117000,US,0,US,2,0,0,0,1,0,1,0,SE,M,1,High Salary
2024,FT,Data Scientist,188500,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
2024,FT,Data Scientist,165100,US,0,US,2,0,0,0,1,0,1,0,SE,M,0,Low Salary
